,titles,contents,dates,tags
0,FBS и realFBS: изменили механику блокировок,"Сделали блокировки по показателям качества на схемах FBS и realFBS ещё прозрачнее, чтобы вы чётко понимали, когда доступ к продажам снова откроется, и быстрее возвращались к работе.
Как теперь действуем при нарушениях

Если превысили пороги по показателям качества в самый первый раз — предупреждаем, что можем временно остановить ваши продажи, и даём 7 дней, чтобы вы успели отладить процессы.
Если ситуация не улучшилась, блокируем продажи на 3 дня. 
На четвёртый день, даже если пороги по показателям всё ещё превышены, мы снимем блокировку на 7 дней — у вас снова появится время, чтобы исправить качество отгрузки. Если и через неделю показатели будут зашкаливать, опять заблокируем продажи на 3 дня, а после снова откроем на семь — так будет продолжаться, пока проценты отмен и просрочек не придут в норму.

Что изменилось
Первые два шага остались прежними, обновился только третий. Раньше, если после трёх дней показатели не опускались до нормы, мы продлевали срок блокировки каждые 24 часа  — теперь поступаем по-другому.
Как поступим с повторными нарушениями
Цикл будет таким же, но на этот раз первым шагом не будем отправлять предупреждение и сразу заблокируем товары или склады на 3 дня.
! Как и всегда, регулярно следим за вашими показателями: если они улучшатся во время блокировки — сразу снимем её, не дожидаясь окончания срока. 
Надеемся, что слишком частых отмен и задержек не произойдёт, и ваши продажи будут идти без остановок.     
Подробнее о механике блокировок",25 августа,"FBS, realFBS"
1,Вход в аккаунт: упростили и сделали ещё надёжнее,"С 22 августа при входе вам больше не нужно вводить логин и пароль — достаточно указать свой номер телефона, на который мы отправим разовый код. Для этого ваш аккаунт должен быть привязан к Ozon ID: он уже у вас есть, если делаете заказы на площадке или уже уже его создали. А если нет — нужно поторопиться.
В чём плюсы

Не потребуется постоянно держать в голове пароли и логины.
При повторном входе через один и тот же браузер не нужно будет заново входить в аккаунт.
Никто посторонний не сможет войти в ваш кабинет, даже если случайно оставите логин и пароль где-то в общем доступе.
К одному номеру телефона можно привязать несколько аккаунтов, если у вас больше одного магазина на площадке.

Как включить вход по Ozon ID

Уйдёт пара минут: в разделе «Настройки» → «Настройки профиля» нужно указать ваш номер мобильного в блоке Ozon ID. Отправим проверочный код и привяжем кабинет к вашему номеру. 
Или на шаге авторизации выберите «Войти через email» и введите электронную почту, которую используете как логин — отправим на неё письмо со ссылкой для связки с Ozon ID. Перейдите по ссылке и укажите номер телефона, который будете использовать для входа.

Важно: перед тем, как привязать личный кабинет к Ozon ID, с которого делаете покупки, проверьте — ваш ли покупательский аккаунт открыт в браузере. Ведь бывает, что одним компьютером пользуется вся семья.
Подключить Ozon ID нужно каждому сотруднику, который входит в ваш аккаунт под отдельной учёткой.
Скоро от подключения к Ozon ID проку будет ещё больше: привяжем к нему сразу все ваши учётки — так по коду из смс можно будет заходить и в сервисы обучения, и в кабинет бренда, и в Моменты, и в другие наши продукты.
Как настроить Ozon ID",22 августа,
2,FBS и realFBS: можно увеличить срок сборки заказов,"Открываем площадку для товаров, которые невозможно подготовить к доставке за сутки. Их вы можете собрать на отдельном складе и выбрать время сборки заказов:

на FBS — до 7 дней; 
на realFBS Standard — до 30 дней. 

А это значит, что теперь вы можете продавать товары, которые:

производите или привозите под конкретного покупателя;
лежат не на основном складе;
уже в пути к вам от поставщика;
покупатель в чате просит изменить по его желанию и многое другое. 

Настройка увеличенного времени сборки доступна с 22 августа при создании и редактировании складов в разделе «FBS» → «Логистика»: просто выберите ползунком новый срок сборки. Он сразу начнёт действовать для всех товаров со склада.
! И ещё раз: для позиций, которым нужно больше времени на сборку, следует создать отдельный склад. А остальные оставить на складе со сборкой до 24 часов — чтобы для них сохранилась быстрая доставка, которую так ценят покупатели.
Подробнее о времени на сборку: на схеме FBS и realFBS",22 августа,"FBS, realFBS"
3,Приложение: что нового за месяц для iOS и Android,"Продолжаем улучшать приложение, чтобы вы могли управлять продажами в любом месте — собрали свежие обновления Ozon Seller для разных операционных систем. 
iOS и Android
Редактирование фото в карточках товара
Теперь со смартфона можно:

добавлять кадры из галереи;
снимать фото и сразу подгружать их к карточкам;
вставлять или редактировать код для rich-контента;
удалять старые фото или менять их местами. 

Требования к фото: формат JPEG, JPG, PNG. Размер — не больше 10 Мб. Разрешение — от 200 до 7680 пикселей по большей стороне. Подробнее о требованиях
Новый раздел c финансовыми услугами
Планируем перенести функционал Ozon Invest в приложение, чтобы вы могли заказывать займы, «Деньги до продаж» или другие финансовые услуги прямо со смартфона. 
Уже начали работу в этом направлении и добавили в меню раздел «Кредитование»: в нём можно узнать больше о сервисах Ozon Invest и зайти в его личный кабинет — отдельный браузер для этого не нужен. 
Уведомление о новых темах push-уведомлений
Чтобы вы знали, когда мы выпускаем новые типы push-уведомлений, начали рассказывать о них при запуске приложения. Например, когда в будущем появится уведомления о вопросах покупателей к товарам, приложение сразу предложить подключить их.    
iOS
Редактирование информации о товаре
Раньше функция была только на Android, но теперь доступна и на iOS. Со своего iPhone вы можете изменить: 

название товара;
артикул;
цену со скидкой и без;
ставку НДС;
вес и габариты. 

Не забыли и о штрихкодах — с ними тоже можно работать через «Информацию о товаре»: добавлять новые, править непринятые, выбирать, на каком принтере печатать и в каком формате. 
Новый раздел «Все акции»
По опросам знаем, что многие продавцы любят наши распродажи. Чтобы вам было удобнее следить за ними, добавили раздел «Все акции» — полноценный календарь наших активностей. В нём можно увидеть доступные акции, посмотреть какие товары уже участвуют в них или какие распродажи недавно закончились. На Android раздел появится через две недели. 
Добавлять позиции в акции через смартфон пока нельзя, но ближе к «Чёрной Пятнице», которая пройдёт в ноябре, обязательно доработаем этот момент для iOS и Android. 
Сканер маркировки «Честного ЗНАКа»
Следим за изменениями законов о маркировке товаров, поэтому облегчаем вам их сборку через приложение. Выделяем позиции с обязательной маркировкой значком с галочкой, а коды «Честного ЗНАКа» для них можно сканировать камерой телефона и передавать нам — такого ещё нет даже в личном кабинете.
График продаж в штуках
После появления этого фильтра на Android многие просили добавить его и на iOS — уже всё готово. На главной странице можете следить за продажами в штуках за последние две недели, а по нажатию на один из дней открывать полные данные об операциях за сутки. 
Android
Рабочие уведомления для смартфонов Huawei
Раньше 15% пользователей нашего приложения со смартфонами Huawei не могли получать push-уведомления из-за проблем китайского производителя с сервисами Google. Чтобы обойти эту трудность, опубликовали Ozon Seller в официальном магазине Huawei App Gallery. Если скачать приложение оттуда, все уведомления о заказах, отзывах, ответах поддержки и других событиях начнут приходить. 
Скачать Ozon Seller для Huawei
Новый дизайн списка отправлений
Как многие заметили, обновился и раздел со списком отправлений. Стали заметнее выделять названия товаров, статусы посылок, время для их сборки и добавили фильтр по дате отгрузки. Для iOS тоже готовим это обновление — выпустим его в ближайшее время. 
Читаем ваши отзывы и знаем, что не все функции пока работают корректно, но стараемся оперативно дорабатывать их по вашим советам и запросам. Спасибо, что даёте обратную связь — мы следим за каждым комментарием. 
Скачать Ozon Seller для iOS или для Android",22 августа,Приложение
4,FBO: меняем домашние склады и обновляем матрицу кластеров,"Меняем домашние склады для трёх кластеров
Чтобы точнее рассчитывать логистику и быстрее доставлять товары, с 1 сентября изменим приоритетные фулфилменты для продаж в кластеры: 

Уфа — домашним складом станет Самара вместо Екатеринбурга;
Сыктывкар — домашним складом станет Пушкино вместо Санкт-Петербурга; 
Мурманск — домашним складом станет Санкт-Петербург вместо Твери.

Это обновление помогает нам с вами в подготовке к высокому сезону и сокращает простои фур из-за дорожных работ или пробок на загруженных трассах. 
На стоимости перевозок обновление почти никак не отразится: в старых домашних регионах коэффициент для расчёта логистики немного вырастет, зато в новых станет единицей. 
Матрица кластеров и домашних складов
Изменим названия кластеров в Санкт-Петербурге
Видим, что разговорные названия кластеров путают некоторых продавцов, поэтому с 19 августа меняем локальные обозначения на более понятные. 
Какие будут названия у кластеров: 

Приморский → Санкт-Петербург Север; 
Красносельский → Санкт-Петербург Юг;
Всеволожск → Ленинградская область.
",18 августа,FBO
5,Новая версия договора: внесли мини-правки,"Минорно обновили наш с вами договор. Вот что начнёт действовать с 18 августа 2022 года — так как правки позитивные, решили не откладывать их. Оба изменения касаются только продавцов на схеме FBO.

Улучшили шаблон мотивированного возражения к акту приёмки. Теперь в нём  есть вся необходимая информация, чтобы мы могли сразу исправить документ, ничего у вас не уточняя (п. 3.4 Приложения №1). 
Дополнили регламент по поставкам на фулфилменты, чтобы партнёры из Армении и Киргизии могли привозить товары на склады Ozon по тем же правилам, что и российские продавцы.

Ещё одно правило вступит в силу 1 сентября 2022 года. Договаривались, что отправляем вам акты сверки после каждого квартала, а теперь уточнили, что в течение этих трёх месяцев не сможем составить промежуточных актов по вашему запросу (п. 3.8).
Полные версии договора и регламента FBO",17 августа,"FBO, Договор"
6,FBO: упростили поставку маркированных товаров,"Начинаем вместе принимать товары с маркировкой и без неё. Это значит, что для поставки больше не нужно занимать несколько слотов и делать несколько заявок. Ваша работа станет проще, и свободных слотов на складах и в кросс-докинге появится больше.
УПД-2 на товары с маркировкой остаётся, но присылать его заранее теперь не нужно. На складе просканируем коды товаров и подтянем их в УПД-2. Вам останется скачать его из личного кабинета и отправить нам через ЭДО с электронной подписью.
Если какие-то товары из поставки вы ещё не ввели в оборот, система заметит это и выделит их в документе статусом «Не в обороте». У вас будет два варианта:

зарегистрировать позиции в «Честном ЗНАКе» и отправить нам подписанный УПД-2;
убрать из УПД-2 позиции, которых нет в «Честном ЗНАКе» — а после написать в поддержку и договориться об их вывозе: «Обязательная маркировка товаров» → «Прочие вопросы». 

Правила таких поставок закреплено в нашем договоре уже с 4 августа 2022 года.",17 августа,"FBO, Маркировка"
7,Отсрочка: можно сэкономить ещё больше,"Уже почти два месяца вы можете подольше подержать деньги на балансе личного кабинета и получить скидку на комиссию за продажу. До сих пор можно было откладывать выплату только за целый месяц и выбирать отсрочку на период от 15 до 60 дней. А теперь мы сделали условия ещё более гибкими.
Экономить на комиссиях можно до 2.9% от цены товара
Интересная динамика: продавцы чаще всего оформляют отсрочку на 60 дней — чтобы сэкономить как можно больше. Поэтому подстраиваемся под вас и теперь при длительной отсрочке делаем условия выгоднее. Тарифы выглядят так:

Если сейчас у вас уже включена отсрочка на 15-45 дней, комиссия за продажу будет та же, если она оформлена на выплату за июль-август. Если включите или продлите отсрочку 16 августа или позднее — ставка будет новой.
Можно отсрочить выплату не за месяц, а за 15 дней
Теперь вы можете включать-выключать отсрочку каждые 15 дней — до 15 числа месяца, и с 16 числа до 30/31 числа. 
Если перенести выплату лишь за половину месяца — у вас не будет долгих периодов без выплат и вместе с тем получится сэкономить на комиссии за продажу.
Все детали отсрочки платежей
Включить отсрочку",17 августа,Финансы
8,Новое в разделе «Рейтинги» и заявках на скидку,"Даём больше информации о впечатлениях и запросах ваших покупателей. Ориентируйтесь на эти данные, чтобы клиенты оставались довольны.
Жалобы: показываем претензии ваших покупателей
Часть жалоб покупатели оставляют не в отзывах, а через обращения в поддержку, форму для оценки доставки и в комментариях к возвратам. Прежде вы их не видели и не могли проработать — исправляем это.
Добавили в «Рейтинги» раздел с жалобами — будем публиковать там комментарии и фото, которые получили от ваших покупателей. На ваши показатели качества они не повлияют, но сможете учесть их, чтобы сделать сервис лучше и вырастить рейтинг товара. 
Подробнее об инструменте
Заявки на скидку: отображаем региональный коэффициент
Если покупатель попросит снизить цену, в окне заявки появится не только предложенная им скидка, но и сумма, которая добавилась к цене с учётом регионального коэффициента. Так сразу поймёте, какую стоимость товара сейчас видит покупатель в своём регионе и какой будет для него новая цена после одобрения скидки.
Напомним, что используем региональное ценообразование, только если предстоит далеко везти товар: склад находится в одном кластере, а покупатель оформляет заказ в другой. 
Подробнее о заявках на скидку",16 августа,Аналитика
9,Premium: о скидках и тарифах программы,"Разобрались ещё с двумя моментами, о которых вы просили — чтобы сделать Premium максимально гибким и простым.
Можете отключать и включать скидки по Ozon Карте
До сих пор скидку мы по умолчанию назначали для всех ваших позиций. По вашим откликам поняли, что есть случаи, когда вы просто не можете предлагать на товар цену ниже той, которая и так у вас стоит. Поэтому отдаём управление дисконтом вам. 
Указать, на какие товары предлагать покупателю скидку, а на какие — нет, можно в шаблоне по изменению цен. Там появились два новых столбца:

с текущим статусом скидки — показывает, включена она сейчас или нет;
для управления скидкой — в нём можно включить или выключить скидку для товара.

Отключение скидки по Ozon Карте не отменяет плату за Premium при продаже. Ведь скидка — это лишь часть преимуществ, которыми вы можете пользоваться. А дополнительно товар получает ещё и:

более высокую позицию в поиске и категории;
привлечение покупателей через «Бонусы продавца» и «Рассылку бонусов продавца»;
рекламу по вашим кастомным сегментам покупателей — если вы её запустите.

Больше не смотрим на индекс цен
Раньше ваш индекс цен влиял на размер скидки, которую мы начисляли покупателям со своей стороны. А теперь мы придумали более справедливый подход. 
Начнём определять скидку индивидуально для каждого товара. При этом будем учитывать все возможные критерии: сколько стоит товар, насколько эта цена конкурентоспособна, как часто заказывают такие позиции, какой уровень продаж у продавца и даже — какой сейчас сезон. Так мы сможем оперативно реагировать на все изменения на рынке и делать покупателям более выгодные предложения.
При такой логике и тарифы больше не нужны, поэтому откажемся от них. С вашей же стороны ничего не изменится: чтобы сделать ваш ассортимент дешевле для покупателей с Ozon Картой, будем брать со всех продаж фиксированный процент, который зависит от категории ваших товаров.",16 августа,Продвижение
