,titles,contents,dates,tags
0,Общие остатки можно загружать через API,"Если ваши товары физически хранятся на одном складе, а на Маркете продаются с нескольких, объедините такие склады в группу. Недавно рассказывали, как это упрощает ручную работу с остатками по разным моделям — а теперь упростит и автоматическую.
Объединить склады
Остатки будут синхронно обновляться и уменьшаться при продажах, так что вы защититесь от заказов-дублей и вынужденных отмен.Перенастраивать API не придётся: за данными будем приходить через уже существующий запрос к одному из складов группы.
Как настроить общие остатки по API
На странице Логистика → Склады нажмите кнопку «Создать группу».Выберите склады с методом работы «через API». После объединения их товары временно пропадут с витрины — это необходимо, чтобы остатки стали общими.Перенастраивать API не придётся: за данными будем приходить через уже существующий запрос к одному из складов группы. Выберем его сами и покажем на странице Настройки API.Товары вернутся на витрину с ближайшим обновлением остатков. После этого при продажах их количество будет синхронно уменьшаться у всей группы.
Чтобы не ждать ближайшего обновления и быстрее выйти на витрину, можете после создания группы передать общие остатки через запрос магазина к Маркету. Вот как он настраивается.
",24 августа 2022,"FBS, Экспресс, DBS, Логистика"
1,"Новинки в кабинете: состав платежа в деталях, акт сверки и вебинар по 1С для бухгалтеров","Рассказываем о новинках на Маркете, которые упростят работу с платежами и документами, а ещё помогут рассчитать затраты на услуги Маркета. Приятный бонус для бухгалтеров — впервые проводим вебинар по 1С. 

О платежах в деталях — прямо в кабинете
Отчёт по платежам стал значительно информативнее, при этом скачивать Excel-файл больше необязательно.
Кликните по дате платежа и увидите подробности: за какие заказы  пришли эти деньги и была ли удержана сумма для оплаты услуг Маркета.
Посмотреть отчёт
Вебинар про работу в 1С — 30 августа в 12:00Расскажем, как настроить работу в программах 1С: отражать перемещение товаров, продажи по разным вариантам признания выручки и движение денег.Зарегистрироваться
Акт сверки всегда под рукой

Заказать акт сверки можно в любой момент без помощи службы поддержки — самостоятельно на странице Закрывающие документы.
К закрывающим документам
Стоимость услуг по товарам в каталогеКалькулятор стоимости услуг для DBS и ЭкспрессаНа странице Каталог справа в таблице показываем примерную стоимость услуг для каждой модели, по которой можно продавать товар.Теперь в калькуляторе можно рассчитать затраты на услуги Маркета для всех моделей и оценить рентабельность продаж.В каталогК калькулятору

Статусы оплат за услуги по актам
Стало проще узнать, оплачены ли услуги по акту об оказанных услугах, или платежей покупателей в этом месяце ещё не хватило для взаимозачёта. Также можно быстро посмотреть задолженность по всем месяцам.
К закрывающим документам
Для УСН не нужно присылать закрывающие документы
Выплаты за скидки Маркета теперь отправляем автоматически.
Ждём документы только в одном случае — если вы забыли подписать их за любой месяц до мая включительно. Проверить это можно на странице «Закрывающие документы» — поставьте галочку «Показать месяцы с неподписанными документами».
Будем рады обратной связи — поделитесь своими впечатлениями о новых инструментах. Выберите в анкете тему «Бухгалтерия», чтобы мы быстрее нашли ваш ответ.Написать отзыв
",23 августа 2022,"FBS, Экспресс, FBY, DBS, Финансы, Важное"
2,В рекламных кампаниях появилась доля показов для рекомендованных ставок,"В рекламных кампаниях для продавцов теперь можно увидеть, какую долю показов на выделенных местах могут принести рекомендованные ставки. А ещё все рекомендации — и по ставкам, и по цене — можно смотреть на странице кампаний. Всё это — чтобы вам было проще оценивать эффективность кампаний и корректировать настройки.
Как это устроено
В списке кампаний появился новый столбец — Доля показов. Это процент показов, который с выставленной ставкой могут получить ваши товары. Долю считаем от возможных показов на выделенных местах на поиске Маркета и по категории, в блоках «Популярные предложения» и «Ещё может подойти» — на них приходится более 75% добавлений в корзину с рекламных мест.

Рекомендации ставок недавно появились на странице создания и редактирования рекламных кампаний. Теперь же анализировать активные кампании можно даже не заходя в каждую из них.
На что обратить внимание
Советуем в первую очередь смотреть на цены. Если они выше минимальных на карточке на 10% или больше, то даже с отличными ставками товары не смогут продвинуться на все рекламные места.

Устанавливайте рекомендованные ставки. По данным нашего эксперимента, это даёт прирост заказов. Мы установили для популярных товаров рекомендованные ставки, которые приносят от 85% показов на выделенных местах. Это принесло +43% заказов товаров, которые раньше не продвигались, и +25% заказов товаров, у которых подняли ставки до рекомендованных.
Посмотреть рекомендации
Подробнее обо всём написали в Справке.
",22 августа 2022,"FBS, Экспресс, FBY, DBS, Продвижение, Сводка"
3,Вы предложили — мы сделали,"Сегодня в нашем пятничном дайджесте — приятные новости про каталог, рекламные кампании, работу с возвратами и непринятыми на складе товарами.
Много идей мы берём из результатов опроса, который вы время от времени видите в личном кабинете. Пожалуйста, не пропускайте его: нам важно получать ваши оценки и комментарии. Также неизменно читаем чат и сообщения в форме.



",12 августа 2022,"FBS, Экспресс, FBY, DBS, Сводка"
4,Получайте больше заказов благодаря постоплате,"Слышим, что магазинам важно настраивать разные способы оплаты как в домашнем, так и в других регионах. Поэтому возвращаем оплату заказа при получении.
Рекомендуем комбинировать постоплату с предоплатой, чтобы покупатели могли выбрать удобный для них способ. По нашим расчётам, это позволит вырастить число заказов примерно на 10%.
Подключить постоплату можно в любом регионе, куда вы возите, или во всех сразу — через заявку. Эта же заявка понадобится, если вы решите отказаться от постоплаты или захотите по-прежнему получать только предоплаченные заказы. Форму заявки вы в любой момент можете найти в разделе Поддержка.
Изменение не затронет продавцов, которые участвуют в эксперименте с оплатой только наличными.
",12 августа 2022,"DBS, Другое, Сводка"
5,О работе с подменными номерами,"Собрали несколько важных новостей про общение с покупателями.
Про связь через подменные номера
Подменные номера позволяют записать разговоры — а значит, быстро и справедливо разбирать спорные ситуации. Так мы защищаем ваши интересы и гарантируем безопасность данных покупателей, чтобы растить доверие к Маркету.
В июне мы прослушали звонки после жалоб покупателей на отмену или перенос доставки. В 97% случаев покупатели сами просили привезти заказ в другое время или отменить его. Так продавцам не пришлось тратить время на лишние разбирательства.
С 22 августа будем предупреждать о нарушении правил Маркета продавцов, которые продолжат спрашивать у покупателей реальные номера. А в крайних случаях можем ограничивать работу магазина. Зафиксируем эти положения в пункте 8.7.1 нашего договора.
Про общение по заказу
Покупатели насторожённо относятся к рекламным рассылкам магазинов. Получая такие сообщения, они могут решить, что продавец недобросовестный — и отказаться от покупок на Маркете. Если заметим такие рассылки, будем просить вас общаться только для уточнения деталей по заказу или его доставке — куда привезти заказ, кто это сделает и контактный номер курьера. А в крайних случаях можем ограничивать работу продавца. Добавим эти изменения в договор — в пункт 8.7.
Чтобы написать покупателю после доставки и обсудить, например, способ возврата — используйте открытый чат. В ином случае, напишите поддержке: мы передадим покупателю ваше сообщение. После доставки подменные номера перестают действовать и связаться по ним не получится.
Меняемся по вашим комментариям
Знаем, что подменные номера пока работают неидеально — но ищем решения, чтобы это исправить. Подготовили ответы на самые частые обращения и призываем писать нам, если что-то идёт не так.
Подменные номера не работают: покупатель постоянно недоступен
Дело в заставке и паузе, которые вы слышите перед тем, как покупатель возьмёт трубку. 22 августа мы сократим заставку, чтобы звонок был больше похож на обычный. Если покупатель не выйдет на связь, мы сообщим причину: телефон недоступен или звонок сбросили.
Для получения заказов в СДЭК или других службах нужен реальный номер
Начнём точнее ориентировать покупателей в оповещениях, какая информация нужна для получения заказа и где её найти.
",11 августа 2022,"DBS, Договор"
6,Работайте по любой модели в мобильном приложении на Android,"Долгожданное обновление для Android: если раньше обработка заказов в приложении была доступна только для экспресс-доставки, то теперь это можно делать и по модели DBS. А обновлять цены, остатки, скрывать товары и возвращать их на витрину — по всем моделям.
Скачать приложение для Android
Что доступно уже сейчас
Уведомления о новых заказах с экспресс-доставкой и собственной доставкой магазина (DBS).Обработка заказов, редактирование их состава и передача кодов маркировки в системе «Честный ЗНАК» — по моделям Экспресс и DBS.Списки заказов в режиме чтения — для моделей FBS и FBY.Каталог: обновление остатков и цен, скрытие товаров и возврат на витрину — для всех моделей.

Что дальше
Уже работаем над обработкой заказов для FBS.В планах — добавить чаты с покупателями. Понимаем, что отвечать на вопросы по заказам может быть удобнее с телефона.Адаптируем Сводку — чтобы вы могли следить за статистикой продаж прямо в приложении.

На iOS пока доступна работа с экспресс-заказами — планируем нагнать Android к середине осени.
Ваше мнение важно
Расскажите, какую функцию вы больше всего ждёте от мобильного приложения — чаты, удобную работу с отгрузками или что-то ещё? Мы читаем все комментарии и обязательно учтём ваши пожелания.
",2 августа 2022,"FBS, Экспресс, FBY, DBS, Мобильное приложение, Сводка, Важное"
7,Экономьте на логистике благодаря поставкам через транзитные склады,"Транзитные поставки могут помочь прилично сэкономить на доставке, если у вас есть продажи в других регионах. Привозите товары на транзитный склад, а мы отвезём их на любой другой склад Маркета в России.
Отправляйте по выгодным тарифам
Льготный тариф продлеваем до конца лета. До 31 августа отправить палету или коробку через транзитный склад можно за 10 ₽.С сентября будут действовать обычные тарифы, 1 августа внесём правки в договор — уточним перечень маршрутов и изменим цены на некоторые из них.
Маршрут через транзитный складСтоимость поставкиГрузовое местоМосква (Томилино) — Ростов‑на‑Дону2000 руб.ПалетаМосква (Томилино) — Ростов‑на‑Дону200 рубКоробкаРостов‑на‑Дону — Москва (Софьино)2080 рубПалетаРостов‑на‑Дону — Москва (Софьино)208 руб.КоробкаСанкт‑Петербург — Москва (Софьино)1650 руб.ПалетаСанкт‑Петербург — Москва (Софьино)165 руб.КоробкаРостов‑на‑Дону — Москва (Софьино КГТ)2080 рубПалетаРостов‑на‑Дону — Москва (Софьино КГТ)208 руб.КоробкаСанкт‑Петербург — Москва (Софьино КГТ)1650 руб.ПалетаСанкт‑Петербург — Москва (Софьино КГТ)165 руб.КоробкаМосква (Томилино) — Екатеринбург3 000 руб.ПалетаМосква (Томилино) — Екатеринбург300 руб.КоробкаМосква (Томилино) — Санкт‑Петербург2400 руб.ПалетаМосква (Томилино) — Санкт‑Петербург240 руб.КоробкаМосква (Томилино) — Самара2000 рубПалетаМосква (Томилино) — Самара200 рубКоробкаКраснодар — Ростов‑на‑Дону1850 руб.ПалетаКраснодар — Ростов‑на‑Дону154 руб.Коробка
Привозите товары любых габаритов
Принимаем на любой транзитный склад — в Томилино, Ростовской области, Санкт‑Петербурге и Краснодаре даже крупные или тяжелые товары. Главное, чтобы они умещались на палету. А тариф от веса и габаритов не зависит.
Экономьте на логистике по России
Поставка через транзитный склад может выйти дешевле, чем доставка в федеральный округ покупателя.
Например, магазин из Москвы продаёт шампунь, который пользуется спросом в Приволжском округе. С начала года он продал покупателям из этого региона 1 800 шампуней и потратил на доставку в округ покупателя 18 тысяч — по 10 ₽ на каждую бутылку. Если бы продавец привёз одну палету с шампунем на транзитный склад в Москве и отправил в Самару, то потратил бы 10 ₽ на поставку по льготному тарифу или 2 тысячи по обычному. В итоге сэкономил бы 16–18 тысяч на доставке в округ покупателя.
Посмотреть продажи по регионам можно в отчёте «Показы и продажи». Самый актуальный список транзитных складов и график их работы — в Справке.
",21 июля 2022,"FBY, Договор, Логистика, Важное, Сводка"
8,Новые рекомендации ставок в рекламных кампаниях для продавцов,"На странице создания и редактирования рекламных кампаний появились новые рекомендации. Они показывают, какую долю показов получат предложения в зависимости от выбранной ставки.

Чтобы оценить влияние новых рекомендаций на заказы, мы провели эксперимент: установили для популярных товаров ставки, которые приносят от 85% рекламных показов.
В сравнении с контрольной группой рост заказов составил 42,8% для товаров, которые раньше не продвигались совсем, и 24,6% для товаров, у которых подняли ставки до рекомендованных.
Как считаем долю показов для рекомендованных ставок
Долю показов считаем для товаров выбранной кампании на трёх рекламных местах. Это «Популярные предложения» и «Спонсорские товары» на поиске и в категории, а также «Ещё может подойти» на карточках товаров. На них приходится более 75% добавлений в корзину с рекламных мест.
Рекомендации и доли показов рассчитываем за предыдущий день, один раз в сутки. В действующих кампаниях они появятся, когда вы нажмёте «Редактировать». Исключение — кампании, созданные через шаблон Excel, для них рекомендаций пока нет.
Важный момент: если конкуренты поднимают ставки или уходят с витрины, доля рекламных показов, которую приносит ваша текущая ставка, может снизиться или вырасти.
Скоро мы выведем информацию о доле рекламных показов на страницу всех кампаний — так следить за эффективностью ставок будет ещё проще.
",19 июля 2022,"FBS, Экспресс, FBY, DBS, Продвижение, Сводка"
9,Промокоды за работу над контентом: продолжаем акцию,"Продлеваем акцию про промокоды за контент — потому что видим, что вы охотно в ней участвуете. Улучшайте карточки до конца августа, а мы поможем увеличить продажи. Для этого продолжим давать покупателям промокод на скидку 5% за счёт Маркета.

Первые итоги акции
За две недели с начала акции продавцы загрузили контент для более чем 500 000 предложений. Суммарно в акции поучаствовали около 3500 партнёров. По первым данным, загрузка контента дала карточкам в среднем +20% к числу показов на Маркете. Это число будет расти — например, за счёт того, что часто просматриваемые товары занимают более выгодные позиции в результатах поиска.
Основные условия — прежние
Если благодаря вашему контенту карточка товара получит статус «Карточка заполнена», мы дадим покупателям скидку 5% по промокоду — при заказе этого товара именно у вас.Промокоды запускаем раз в неделю для товаров, которые получили заполненную карточку на предыдущей неделе. Срок показа промокодов — 7 дней.Товары с промокодами получают дополнительное продвижение. Публикуем их на специальном лендинге, запускаем баннеры и пуш-уведомления.
Подробнее — в правилах акции.
Участвовать в акции теперь удобнее
В шаблоны карточек товаров добавили их рейтинг — он показывает, насколько полно описан товар. Если рейтинг не зелёный, карточка может участвовать в акции. Кроме того, в части категорий получить статус «Карточка заполнена» теперь проще — нужно меньше контента, чем раньше.
",19 июля 2022,"FBS, Экспресс, FBY, DBS, Ассортимент, Продвижение, Сводка"
